category,element,notes_protocols
Demographics / Patient Identification,Patient name / MRN,All protocols — patient identification
Demographics / Patient Identification,Date of birth / Age,"Geriatric Trauma (≥65); Geriatric Hip Fx (≥65); DVT Pediatric (≤17); Pediatric (≤14); NAT (≤14); Obstetrical"
Demographics / Patient Identification,Sex,All protocols — demographic baseline
Demographics / Patient Identification,Race / Ethnicity,Registry requirement — not protocol-specific
Demographics / Patient Identification,Admission date/time,All protocols — timeline anchor
Demographics / Patient Identification,Trauma activation category,"Activation Process; Definition of Trauma Patient; Base Deficit Monitoring (Cat I only)"
Demographics / Patient Identification,Attending trauma surgeon,"Trauma Team Attending Requirements; Trauma Surgeon Call Panel"
Demographics / Patient Identification,Transferring facility,Transfer TO/FROM Deaconess Midtown
Prehospital / EMS,EMS run number / agency,"Activation Process; all injury protocols"
Prehospital / EMS,Transport mode (ground/air),"Activation Process; Transfer TO/FROM Deaconess"
Prehospital / EMS,"Scene vital signs (BP, HR, RR, SpO2)","Activation Process; Traumatic Arrest; Drowning"
Prehospital / EMS,Prehospital GCS,"TBI Management; Traumatic Arrest"
Prehospital / EMS,"Prehospital interventions (intubation, IV, tourniquet)","TBI Management; Penetrating protocols; Traumatic Arrest"
Prehospital / EMS,Mechanism of injury narrative,All injury protocols — trigger gate
Prehospital / EMS,Estimated time of injury,"Spinal Clearance (36h timing); TBI Management"
Prehospital / EMS,Prehospital fluids / blood products,"Blood and Blood Product Transfusion; Hypothermia Prevention"
Injury Mechanism / Classification,Blunt vs. penetrating classification,"Blunt Abdominal; Blunt Chest; Penetrating Abdominal; Penetrating Chest; Penetrating Neck; Transmediastinal GSW"
Injury Mechanism / Classification,Body region(s) involved,All injury-specific protocols
Injury Mechanism / Classification,ICD-10 injury diagnosis codes,Registry requirement — derived from all protocols
Injury Mechanism / Classification,ISS / AIS scores,Registry requirement — composite from all injuries
Injury Mechanism / Classification,Injury severity (isolated vs. polytrauma),"Activation Process; Resuscitation Role Assignments"
Injury Mechanism / Classification,"Burn mechanism (thermal/chemical/electrical)",Burned Patient Management
Injury Mechanism / Classification,TBSA (total body surface area burned),Burned Patient Management
Injury Mechanism / Classification,"Burn depth (superficial/partial/full thickness)",Burned Patient Management
Injury Mechanism / Classification,Drowning/submersion mechanism,Drowning
Injury Mechanism / Classification,Hanging/strangulation mechanism,Suspected Hanging Guideline
Injury Mechanism / Classification,Gunshot wound trajectory,"Transmediastinal GSW; Penetrating protocols"
Injury Mechanism / Classification,Fall height / MVC speed,"Activation Process; Geriatric Trauma"
Emergency Department Assessment,ED arrival date/time,All protocols — timeline anchor
Emergency Department Assessment,"Triage category (Cat I / Cat II / Consult)","Activation Process; Definition of Trauma Patient; Trauma Surgeon Consult"
Emergency Department Assessment,Primary survey (ABCDE) findings,"All injury protocols; Resuscitation Role Assignments"
Emergency Department Assessment,Secondary survey findings,All injury protocols
Emergency Department Assessment,"FAST exam (positive/negative/indeterminate)","Blunt Abdominal Trauma; Penetrating Abdominal Trauma; Obstetrical Trauma"
Emergency Department Assessment,Digital rectal exam,"Penetrating Abdominal; Pelvic Fractures"
Emergency Department Assessment,Wound exploration findings,"Penetrating Neck; Penetrating Abdominal"
Emergency Department Assessment,Tetanus immunization status,"Burned Patient Management; Musculoskeletal Injuries"
Emergency Department Assessment,ED disposition time,"All protocols — time-to-OR, time-to-ICU"
Vital Signs / Hemodynamic Monitoring,"Blood pressure (systolic/diastolic/MAP)","All injury protocols; Hypothermia Prevention (target MAP)"
Vital Signs / Hemodynamic Monitoring,Heart rate,"All injury protocols; Traumatic Arrest; Blood Transfusion"
Vital Signs / Hemodynamic Monitoring,Respiratory rate,"All injury protocols; Drowning; TBI Management"
Vital Signs / Hemodynamic Monitoring,SpO2 (pulse oximetry),"All injury protocols; Drowning; Hypothermia"
Vital Signs / Hemodynamic Monitoring,Temperature (core),"Hypothermia Prevention (target ≥36°C); Burned Patient Mgmt; NTDS infection events"
Vital Signs / Hemodynamic Monitoring,"GCS (total + components E/V/M)","TBI Management; Neurosurgical Emergencies; Spinal Clearance"
Vital Signs / Hemodynamic Monitoring,Serial vital sign monitoring,"Solid Organ Injuries; Rib Fracture; Blunt Chest/Abdominal"
Vital Signs / Hemodynamic Monitoring,ICP (intracranial pressure),"TBI Management; Neurosurgical Emergencies"
Vital Signs / Hemodynamic Monitoring,CPP (cerebral perfusion pressure),TBI Management (CPP ≥60 mmHg)
Vital Signs / Hemodynamic Monitoring,Shock index (HR/SBP),"Blood and Blood Product Transfusion; Vascular Intervention"
Neurologic Assessment,GCS post-resuscitation,TBI Management (REQ_TIMING_CRITICAL)
Neurologic Assessment,Pupil reactivity (bilateral),"TBI Management; Neurosurgical Emergencies"
Neurologic Assessment,Motor exam (lateralizing signs),"TBI Management; Spinal Clearance; Neurosurgical Emergencies"
Neurologic Assessment,Sensory exam (dermatome level),"Spinal Clearance; Musculoskeletal Injuries"
Neurologic Assessment,Spinal clearance status,Spinal Clearance and Spinal Injury Management
Neurologic Assessment,NEXUS / Canadian C-Spine criteria,Spinal Clearance
Neurologic Assessment,Delirium screening (CAM-ICU / bCAM),"Geriatric Trauma; NTDS E09 Delirium"
Neurologic Assessment,Mental status changes,"TBI Management; Suspected Hanging; Drowning"
Neurologic Assessment,Seizure activity,"TBI Management; Neurosurgical Emergencies"
Laboratory / Diagnostics,"CBC (H/H, WBC, platelets)","Laboratory Studies; Blood Transfusion; all injury protocols"
Laboratory / Diagnostics,"BMP (Na, K, Cl, CO2, BUN, Cr, glucose)","Laboratory Studies; AKI monitoring (NTDS E01)"
Laboratory / Diagnostics,"Coagulation panel (PT/INR, PTT, fibrinogen)","Laboratory Studies; Anticoagulation Reversal; Blood Transfusion"
Laboratory / Diagnostics,Type and screen / crossmatch,"Laboratory Studies; Blood Transfusion"
Laboratory / Diagnostics,"ABG (pH, pCO2, pO2, base deficit, lactate)","Base Deficit Monitoring; ROTEM; Blood Transfusion"
Laboratory / Diagnostics,Base deficit (serial),"Base Deficit Monitoring (Cat I, q4-6h until normalized)"
Laboratory / Diagnostics,Lactate (serial),"Base Deficit Monitoring; Blood Transfusion; Sepsis (NTDS E15)"
Laboratory / Diagnostics,"ROTEM parameters (EXTEM, FIBTEM, INTEM)",ROTEM Guideline (MTP activation)
Laboratory / Diagnostics,Serum creatinine (baseline + serial),AKI monitoring (NTDS E01 — KDIGO Stage 3)
Laboratory / Diagnostics,Blood culture results,"CLABSI (NTDS E06); Sepsis (NTDS E15)"
Laboratory / Diagnostics,Urine culture results,CAUTI (NTDS E05 — ≥10^5 CFU)
Laboratory / Diagnostics,Urine drug screen / BAL,"SBIRT Screening; Laboratory Studies"
Laboratory / Diagnostics,Pregnancy test (urine/serum β-hCG),"Obstetrical Trauma; Laboratory Studies"
Laboratory / Diagnostics,Troponin,"MI monitoring (NTDS E10); Blunt Chest Trauma"
Laboratory / Diagnostics,Procalcitonin,"Sepsis (NTDS E15); infection monitoring"
Laboratory / Diagnostics,Thromboelastography (TEG),Blood Transfusion (adjunct to ROTEM)
Imaging / Radiology,CT head,"TBI Management; Neurosurgical Emergencies; BCVI screening"
Imaging / Radiology,CT cervical spine,"Spinal Clearance; BCVI screening (Denver criteria)"
Imaging / Radiology,CT chest/abdomen/pelvis,"Blunt Abdominal; Blunt Chest; Pelvic Fractures; Solid Organ Injuries"
Imaging / Radiology,CTA neck/chest,"BCVI (Biffl grading); Penetrating Neck; Transmediastinal GSW; Vascular Intervention"
Imaging / Radiology,"Plain films (chest, pelvis, extremity)","Rib Fracture; Pelvic Fractures; Musculoskeletal Injuries"
Imaging / Radiology,FAST/eFAST,"Blunt Abdominal; Penetrating Abdominal; Blunt Chest (hemothorax)"
Imaging / Radiology,Angiography (diagnostic/interventional),"Vascular Intervention; Peripheral Vascular Trauma; Pelvic Fractures"
Imaging / Radiology,MRI spine,"Spinal Clearance (obtunded patients); Musculoskeletal Injuries"
Imaging / Radiology,Echocardiography (TTE/TEE),"Blunt Chest (cardiac contusion); Transmediastinal GSW"
Imaging / Radiology,Chest X-ray (serial),"Rib Fracture; Penetrating Chest; Drowning"
Imaging / Radiology,Solid organ injury grade (AAST),Solid Organ Injuries (I–V grading)
Imaging / Radiology,Fracture classification,"Pelvic Fractures (Young-Burgess); Musculoskeletal (Gustilo-Anderson)"
Airway / Respiratory,"Intubation (date/time/indication)","TBI Management (GCS ≤8); Drowning; Hanging; Traumatic Arrest; NTDS E19"
Airway / Respiratory,Ventilator mode / settings,"ARDS monitoring (NTDS E02); TBI Management (PaCO2 target)"
Airway / Respiratory,Ventilator days,"VAP screening (NTDS E21 — ≥48h); ARDS"
Airway / Respiratory,"Chest tube placement (date/time/output)","Blunt Chest; Penetrating Chest; Rib Fracture"
Airway / Respiratory,Chest tube output (serial),"Penetrating Chest (>1500 mL = OR trigger); Blunt Chest"
Airway / Respiratory,Needle decompression,"Blunt Chest; Penetrating Chest; Traumatic Arrest"
Airway / Respiratory,Tracheostomy (date/time),"TBI Management; prolonged intubation"
Airway / Respiratory,Oxygen supplementation type/FiO2,"Drowning; Rib Fracture (incentive spirometry)"
